"state_abbr","state_fips","place_fips","stpl_fips","city_name","metric_name","group_name","metric_number","group_number","num","denom","est","lci","uci","county_indicator","educ_indicator","multiplier_indicator","data_yr_type","geo_level","date_export","version","NOTE - NCHS Disclaimer","Suggested Citation"
NY,36,84000,3684000,Yonkers,Absenteeism,black,1,5,348,1899,18.3,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Absenteeism,hispanic,1,6,311,1031,30.2,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Absenteeism,hispanic,1,6,1347,2571,52.4,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Absenteeism,hispanic,1,6,1669,5305,31.5,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Absenteeism,hispanic,1,6,364,1084,33.6,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Absenteeism,hispanic,1,6,909,4737,19.2,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Absenteeism,hispanic,1,6,5389,29048,18.6,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Absenteeism,hispanic,1,6,2203,4415,49.9,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Absenteeism,hispanic,1,6,1000,1498,66.8,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Absenteeism,hispanic,1,6,567,1457,38.9,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Absenteeism,hispanic,1,6,719,1931,37.2,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Absenteeism,hispanic,1,6,278,3910,7.1,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Absenteeism,hispanic,1,6,812,4098,19.8,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Absenteeism,white,1,7,186,1172,15.9,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Absenteeism,white,1,7,1375,3731,36.9,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Absenteeism,white,1,7,43,170,25.3,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Absenteeism,white,1,7,87,254,34.3,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Absenteeism,white,1,7,592,2880,20.6,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Absenteeism,white,1,7,456,3151,14.5,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Absenteeism,white,1,7,641,1699,37.7,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Absenteeism,white,1,7,1296,2275,57,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Absenteeism,white,1,7,595,2172,27.4,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Absenteeism,white,1,7,836,3372,24.8,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Absenteeism,white,1,7,75,1711,4.4,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Absenteeism,white,1,7,133,951,14,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Absenteeism,other,1,8,112,278,40.3,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Absenteeism,other,1,8,226,544,41.5,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Absenteeism,other,1,8,27,88,30.7,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Absenteeism,other,1,8,6,23,26.1,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Absenteeism,other,1,8,8,94,8.5,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Absenteeism,other,1,8,354,2059,17.2,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Absenteeism,other,1,8,71,147,48.3,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Absenteeism,other,1,8,174,377,46.2,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Absenteeism,other,1,8,194,504,38.5,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Absenteeism,other,1,8,197,504,39.1,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Absenteeism,other,1,8,12,164,7.3,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Absenteeism,other,1,8,39,137,28.5,-999,-999,-999,-999,-999,2015-2016,city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Air pollution - particulate matter,total population,2,1,-999,-999,6.8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Air pollution - particulate matter,total population,2,1,-999,-999,8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Air pollution - particulate matter,total population,2,1,-999,-999,7.4,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Air pollution - particulate matter,total population,2,1,-999,-999,8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Air pollution - particulate matter,total population,2,1,-999,-999,7.8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Air pollution - particulate matter,total population,2,1,-999,-999,8.4,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Air pollution - particulate matter,total population,2,1,-999,-999,6.8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Air pollution - particulate matter,total population,2,1,-999,-999,6.8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Air pollution - particulate matter,total population,2,1,-999,-999,6.1,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Air pollution - particulate matter,total population,2,1,-999,-999,6.2,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Air pollution - particulate matter,total population,2,1,-999,-999,7.6,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Air pollution - particulate matter,total population,2,1,-999,-999,8,-999,-999,-999,-999,-999,2017,city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Binge drinking,total population,3,1,-999,-999,19.6,19.4,19.8,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Binge drinking,total population,3,1,-999,-999,18.3,18.2,18.4,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
